type,size,k,runs,LV_eff,continuation_eff,greedy_eff
geometric,11,0.17010955993225252,1000,0.878,0.978,0.964
geometric,16,0.14104739588693907,1000,0.803,0.959,0.941
geometric,23,0.11764166043056544,1000,0.624,0.9,0.858
geometric,32,0.09973557010035818,1000,0.475,0.845,0.782
geometric,45,0.084104417400672,1000,0.295,0.723,0.653
geometric,64,0.07052369794346953,1000,0.159,0.562,0.455
geometric,91,0.05914313854695668,1000,0.049,0.41,0.273
geometric,128,0.04986778505017909,1000,0.009,0.197,0.14
geometric,160,0.044603102903819275,1000,0.001,0.112,0.072
geometric,200,0.03989422804014327,1000,0.002,0.065,0.034
