type,size,k,runs,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper
geometric,11,0.17010955993225252,1000,0.9761214285714286,0.9707888806417677,0.9814539765010895,0.9957666666666667,0.9934558135782466,0.9980775197550867,0.9927999999999999,0.9897487046508747,0.9958512953491251
geometric,16,0.14104739588693907,1000,0.9712575396825397,0.9663023497341483,0.9762127296309311,0.994438492063492,0.9922316699830149,0.9966453141439691,0.9917380952380952,0.9890146628753212,0.9944615276008691
geometric,23,0.11764166043056544,1000,0.9580739926739927,0.9533314053349146,0.9628165800130709,0.9897179292929292,0.9871529375009908,0.9922829210848677,0.9847613636363636,0.9815874499911268,0.9879352772816004
geometric,32,0.09973557010035818,1000,0.952333613526996,0.9480141182513916,0.9566531088026003,0.988297674139586,0.9860366953892193,0.9905586528899527,0.9823061656480775,0.9794392028671588,0.9851731284289962
geometric,45,0.084104417400672,1000,0.9441014711423767,0.9402425201228409,0.9479604221619126,0.9845395935668332,0.982423526940355,0.9866556601933114,0.9787756178465796,0.9761498983670533,0.9814013373261059
geometric,64,0.07052369794346953,1000,0.9394236109131405,0.9360324740767585,0.9428147477495226,0.98005463992715,0.9780096742301253,0.9820996056241748,0.9730602771384171,0.9706877794357286,0.9754327748411057
geometric,91,0.05914313854695668,1000,0.9338410668091055,0.9308338118252848,0.9368483217929262,0.9781575760078894,0.9763313579853821,0.9799837940303968,0.9689084064834969,0.9667702526523039,0.9710465603146898
geometric,128,0.04986778505017909,1000,0.9256602158745443,0.9230319460878638,0.9282884856612248,0.9730898051372708,0.9714897465556184,0.9746898637189233,0.9651694148652648,0.9632389806044023,0.9670998491261272
geometric,160,0.044603102903819275,1000,0.9249721520897493,0.9225653612064136,0.9273789429730849,0.9715079342143929,0.9700029270152682,0.9730129414135175,0.9631950044575475,0.9614468282542361,0.9649431806608588
geometric,200,0.03989422804014327,1000,0.9205174831935626,0.9183315783264643,0.922703388060661,0.9696426172639799,0.9682529504707463,0.9710322840572135,0.9611954106108569,0.9595856128105567,0.9628052084111571
